2026-02-28T16:24:13+07:00 | BVH | Phase-T | pipeline.py | LCTT | 40 periods | SUCCESS | Normalized 1640 rows, mapped 85.4%
2026-02-28T16:24:15+07:00 | BVH | Phase-T | pipeline.py | NOTE | 40 periods | SUCCESS | Normalized 6280 rows, mapped 0.0%
2026-02-28T16:24:23+07:00 | CTG | Phase-T | pipeline.py | CDKT | 40 periods | SUCCESS | Normalized 4880 rows, mapped 71.3%
2026-02-28T16:24:25+07:00 | CTG | Phase-T | pipeline.py | KQKD | 40 periods | SUCCESS | Normalized 1000 rows, mapped 60.0%
2026-02-28T16:24:26+07:00 | CTG | Phase-T | pipeline.py | LCTT | 40 periods | SUCCESS | Normalized 1640 rows, mapped 85.4%
2026-02-28T16:24:28+07:00 | CTG | Phase-T | pipeline.py | NOTE | 40 periods | SUCCESS | Normalized 6280 rows, mapped 0.0%
2026-02-28T16:24:36+07:00 | FPT | Phase-T | pipeline.py | CDKT | 40 periods | SUCCESS | Normalized 4880 rows, mapped 71.3%
2026-02-28T16:24:38+07:00 | FPT | Phase-T | pipeline.py | KQKD | 40 periods | SUCCESS | Normalized 1000 rows, mapped 60.0%
2026-02-28T16:24:40+07:00 | FPT | Phase-T | pipeline.py | LCTT | 40 periods | SUCCESS | Normalized 1640 rows, mapped 85.4%
2026-02-28T16:24:42+07:00 | FPT | Phase-T | pipeline.py | NOTE | 40 periods | SUCCESS | Normalized 6280 rows, mapped 0.0%
2026-02-28T16:24:49+07:00 | GAS | Phase-T | pipeline.py | CDKT | 40 periods | SUCCESS | Normalized 4880 rows, mapped 71.3%
2026-02-28T16:24:51+07:00 | GAS | Phase-T | pipeline.py | KQKD | 40 periods | SUCCESS | Normalized 1000 rows, mapped 60.0%
2026-02-28T16:24:53+07:00 | GAS | Phase-T | pipeline.py | LCTT | 40 periods | SUCCESS | Normalized 1640 rows, mapped 85.4%
2026-02-28T16:24:55+07:00 | GAS | Phase-T | pipeline.py | NOTE | 39 periods | SUCCESS | Normalized 6123 rows, mapped 0.0%
2026-02-28T16:25:03+07:00 | GVR | Phase-T | pipeline.py | CDKT | 39 periods | SUCCESS | Normalized 4758 rows, mapped 71.3%
2026-02-28T16:25:05+07:00 | GVR | Phase-T | pipeline.py | KQKD | 38 periods | SUCCESS | Normalized 950 rows, mapped 60.0%
2026-02-28T16:25:07+07:00 | GVR | Phase-T | pipeline.py | LCTT | 38 periods | SUCCESS | Normalized 1558 rows, mapped 85.4%
